timestamp,t+1,t+2,t+3
2018-01-01 02:30:00+10:00,30.273333333333337,23.081666666666663,15.158333333333333
2018-01-01 03:00:00+10:00,23.081666666666663,15.158333333333333,26.096666666666664
2018-01-01 03:30:00+10:00,15.158333333333333,26.096666666666664,31.39166666666667
2018-01-01 04:00:00+10:00,26.096666666666664,31.39166666666667,26.401666666666667
2018-01-01 04:30:00+10:00,31.39166666666667,26.401666666666667,25.24166666666667
2018-01-01 05:00:00+10:00,26.401666666666667,25.24166666666667,31.516666666666666
2018-01-01 05:30:00+10:00,25.24166666666667,31.516666666666666,31.05666666666667
2018-01-01 06:00:00+10:00,31.516666666666666,31.05666666666667,31.654999999999998
2018-01-01 06:30:00+10:00,31.05666666666667,31.654999999999998,28.551666666666666
2018-01-01 07:00:00+10:00,31.654999999999998,28.551666666666666,79.75
2018-01-01 07:30:00+10:00,28.551666666666666,79.75,61.20166666666666
2018-01-01 08:00:00+10:00,79.75,61.20166666666666,77.25166666666667
2018-01-01 08:30:00+10:00,61.20166666666666,77.25166666666667,46.14166666666667
2018-01-01 09:00:00+10:00,77.25166666666667,46.14166666666667,65.31333333333333
2018-01-01 09:30:00+10:00,46.14166666666667,65.31333333333333,43.25333333333333
2018-01-01 10:00:00+10:00,65.31333333333333,43.25333333333333,23.939999999999998
2018-01-01 10:30:00+10:00,43.25333333333333,23.939999999999998,29.301666666666666
2018-01-01 11:00:00+10:00,23.939999999999998,29.301666666666666,84.22166666666668
2018-01-01 11:30:00+10:00,29.301666666666666,84.22166666666668,47.65333333333333
2018-01-01 12:00:00+10:00,84.22166666666668,47.65333333333333,55.74666666666667
2018-01-01 12:30:00+10:00,47.65333333333333,55.74666666666667,47.86000000000001
2018-01-01 13:00:00+10:00,55.74666666666667,47.86000000000001,57.85166666666666
2018-01-01 13:30:00+10:00,47.86000000000001,57.85166666666666,68.915
2018-01-01 14:00:00+10:00,57.85166666666666,68.915,71.75166666666668
2018-01-01 14:30:00+10:00,68.915,71.75166666666668,115.50166666666667
2018-01-01 15:00:00+10:00,71.75166666666668,115.50166666666667,164.73
2018-01-01 15:30:00+10:00,115.50166666666667,164.73,161.16833333333332
2018-01-01 16:00:00+10:00,164.73,161.16833333333332,185.54999999999998
2018-01-01 16:30:00+10:00,161.16833333333332,185.54999999999998,185.51
2018-01-01 17:00:00+10:00,185.54999999999998,185.51,152.49333333333334
2018-01-01 17:30:00+10:00,185.51,152.49333333333334,101.13
2018-01-01 18:00:00+10:00,152.49333333333334,101.13,66.39833333333333
2018-01-01 18:30:00+10:00,101.13,66.39833333333333,36.30833333333333
2018-01-01 19:00:00+10:00,66.39833333333333,36.30833333333333,9.433333333333334
2018-01-01 19:30:00+10:00,36.30833333333333,9.433333333333334,5.723333333333333
2018-01-01 20:00:00+10:00,9.433333333333334,5.723333333333333,15.473333333333331
2018-01-01 20:30:00+10:00,5.723333333333333,15.473333333333331,2.118333333333333
2018-01-01 21:00:00+10:00,15.473333333333331,2.118333333333333,0.0
2018-01-01 21:30:00+10:00,2.118333333333333,0.0,0.0
2018-01-01 22:00:00+10:00,0.0,0.0,0.0
2018-01-01 22:30:00+10:00,0.0,0.0,0.0
2018-01-01 23:00:00+10:00,0.0,0.0,0.0
2018-01-01 23:30:00+10:00,0.0,0.0,0.0
2018-01-02 00:00:00+10:00,0.0,0.0,0.0
2018-01-02 00:30:00+10:00,0.0,0.0,0.0
2018-01-02 01:00:00+10:00,0.0,0.0,0.0
2018-01-02 01:30:00+10:00,0.0,0.0,1.1416666666666666
2018-01-02 02:00:00+10:00,0.0,1.1416666666666666,16.513333333333332
2018-01-02 02:30:00+10:00,1.1416666666666666,16.513333333333332,14.615
2018-01-02 03:00:00+10:00,16.513333333333332,14.615,18.846666666666668
2018-01-02 03:30:00+10:00,14.615,18.846666666666668,17.248333333333335
2018-01-02 04:00:00+10:00,18.846666666666668,17.248333333333335,28.48
2018-01-02 04:30:00+10:00,17.248333333333335,28.48,16.036666666666665
2018-01-02 05:00:00+10:00,28.48,16.036666666666665,23.150000000000002
2018-01-02 05:30:00+10:00,16.036666666666665,23.150000000000002,35.70666666666667
2018-01-02 06:00:00+10:00,23.150000000000002,35.70666666666667,30.886666666666667
2018-01-02 06:30:00+10:00,35.70666666666667,30.886666666666667,25.165000000000003
2018-01-02 07:00:00+10:00,30.886666666666667,25.165000000000003,25.84
2018-01-02 07:30:00+10:00,25.165000000000003,25.84,29.471666666666668
2018-01-02 08:00:00+10:00,25.84,29.471666666666668,35.24166666666667
2018-01-02 08:30:00+10:00,29.471666666666668,35.24166666666667,77.65166666666666
2018-01-02 09:00:00+10:00,35.24166666666667,77.65166666666666,81.45333333333333
2018-01-02 09:30:00+10:00,77.65166666666666,81.45333333333333,53.22666666666667
2018-01-02 10:00:00+10:00,81.45333333333333,53.22666666666667,60.25
2018-01-02 10:30:00+10:00,53.22666666666667,60.25,61.845
2018-01-02 11:00:00+10:00,60.25,61.845,62.69
2018-01-02 11:30:00+10:00,61.845,62.69,94.95166666666667
2018-01-02 12:00:00+10:00,62.69,94.95166666666667,65.62833333333333
2018-01-02 12:30:00+10:00,94.95166666666667,65.62833333333333,132.28166666666667
2018-01-02 13:00:00+10:00,65.62833333333333,132.28166666666667,152.44333333333333
2018-01-02 13:30:00+10:00,132.28166666666667,152.44333333333333,204.7116666666667
2018-01-02 14:00:00+10:00,152.44333333333333,204.7116666666667,231.45666666666662
2018-01-02 14:30:00+10:00,204.7116666666667,231.45666666666662,219.64166666666668
